,pgn,uci,name,wdl
0,['Nh3'],['g1h3'],Amar Opening,
1,['a3'],['a2a3'],Anderssen's Opening,
2,['f3'],['f2f3'],Barnes Opening,
3,['h3'],['h2h3'],Clemenz Opening,
4,['g4'],['g2g4'],Grob Opening,
5,['g3'],['g2g3'],Hungarian Opening,
6,['h4'],['h2h4'],Kádas Opening,
7,['d3'],['d2d3'],Mieses Opening,
8,['b4'],['b2b4'],Polish Opening,
9,['c3'],['c2c3'],Saragossa Opening,
10,['Na3'],['b1a3'],Sodium Attack,
11,['Nc3'],['b1c3'],Van Geet Opening,
12,['e3'],['e2e3'],Van't Kruijs Opening,
13,['a4'],['a2a4'],Ware Opening,
14,['b3'],['b2b3'],Nimzo-Larsen Attack,
15,['f4'],['f2f4'],Bird Opening,
16,['Nf3'],['g1f3'],Zukertort Opening,
17,['c4'],['c2c4'],English Opening,
18,['d4'],['d2d4'],Queen's Pawn Game,
19,['e4'],['e2e4'],King's Pawn,
20,"['g4', 'f5']","['g2g4', 'f7f5']",Grob Opening: Alessi Gambit,
21,"['g4', 'g5']","['g2g4', 'g7g5']",Grob Opening: Double Grob,
22,"['g3', 'f5']","['g2g3', 'f7f5']",Hungarian Opening: Dutch Defense,
23,"['g3', 'Nf6']","['g2g3', 'g8f6']",Hungarian Opening: Indian Defense,
24,"['g3', 'g5']","['g2g3', 'g7g5']",Hungarian Opening: Myers Defense,
25,"['g3', 'c5']","['g2g3', 'c7c5']",Hungarian Opening: Sicilian Invitation,
26,"['g3', 'g6']","['g2g3', 'g7g6']",Hungarian Opening: Symmetrical Variation,
27,"['h4', 'g5']","['h2h4', 'g7g5']",Kádas Opening: Schneider Gambit,
28,"['g3', 'h5']","['g2g3', 'h7h5']",Lasker Simul Special,
29,"['d3', 'e5']","['d2d3', 'e7e5']",Mieses Opening: Reversed Rat,
30,"['b4', 'c5']","['b2b4', 'c7c5']",Polish Opening: Birmingham Gambit,
31,"['b4', 'f5']","['b2b4', 'f7f5']",Polish Opening: Dutch Defense,
32,"['b4', 'Nc6']","['b2b4', 'b8c6']",Polish Opening: Grigorian Variation,
33,"['b4', 'Nh6']","['b2b4', 'g8h6']",Polish Opening: Karniewski Variation,
34,"['b4', 'c6']","['b2b4', 'c7c6']",Polish Opening: Outflank Variation,
35,"['b4', 'b5']","['b2b4', 'b7b5']",Polish Opening: Symmetrical Variation,
36,"['Nc3', 'b5']","['b1c3', 'b7b5']",Van Geet Opening: Laroche Gambit,
37,"['Nc3', 'e5']","['b1c3', 'e7e5']",Van Geet Opening: Reversed Nimzowitsch,
38,"['b3', 'd5']","['b2b3', 'd7d5']",Nimzo-Larsen Attack: Classical Variation,
39,"['b3', 'f5']","['b2b3', 'f7f5']",Nimzo-Larsen Attack: Dutch Variation,
40,"['b3', 'c5']","['b2b3', 'c7c5']",Nimzo-Larsen Attack: English Variation,
41,"['b3', 'Nf6']","['b2b3', 'g8f6']",Nimzo-Larsen Attack: Indian Variation,
42,"['b3', 'e5']","['b2b3', 'e7e5']",Nimzo-Larsen Attack: Modern Variation,
43,"['b3', 'b5']","['b2b3', 'b7b5']",Nimzo-Larsen Attack: Polish Variation,
44,"['b3', 'b6']","['b2b3', 'b7b6']",Nimzo-Larsen Attack: Symmetrical Variation,
45,"['f4', 'Nf6']","['f2f4', 'g8f6']",Bird Opening,
46,"['f4', 'e5']","['f2f4', 'e7e5']",Bird Opening: From's Gambit,
47,"['f4', 'g5']","['f2f4', 'g7g5']",Bird Opening: Hobbs Gambit,
48,"['f4', 'Nh6']","['f2f4', 'g8h6']",Bird Opening: Horsefly Defense,
49,"['f4', 'b5']","['f2f4', 'b7b5']",Bird Opening: Myers Defense,
50,"['f4', 'd5']","['f2f4', 'd7d5']",Bird Opening: Dutch Variation,
51,"['Nf3', 'f6']","['g1f3', 'f7f6']",Zukertort Opening: Arctic Defense,
52,"['Nf3', 'h6']","['g1f3', 'h7h6']",Zukertort Opening: Basman Defense,
53,"['Nf3', 'Nc6']","['g1f3', 'b8c6']",Zukertort Opening: Black Mustang Defense,
54,"['Nf3', 'f5']","['g1f3', 'f7f5']",Zukertort Opening: Dutch Variation,
55,"['Nf3', 'g5']","['g1f3', 'g7g5']",Zukertort Opening: Herrstrom Gambit,
56,"['Nf3', 'g6']","['g1f3', 'g7g6']",Zukertort Opening: Kingside Fianchetto,
57,"['Nf3', 'd6']","['g1f3', 'd7d6']",Zukertort Opening: Pirc Invitation,
58,"['Nf3', 'b5']","['g1f3', 'b7b5']",Zukertort Opening: Polish Defense,
59,"['Nf3', 'e6']","['g1f3', 'e7e6']",Zukertort Opening: Queen's Gambit Invitation,
60,"['Nf3', 'b6']","['g1f3', 'b7b6']",Zukertort Opening: Queenside Fianchetto Variation,
61,"['Nf3', 'e5']","['g1f3', 'e7e5']",Zukertort Opening: Ross Gambit,
62,"['Nf3', 'c5']","['g1f3', 'c7c5']",Zukertort Opening: Sicilian Invitation,
63,"['Nf3', 'c6']","['g1f3', 'c7c6']",Zukertort Opening: Slav Invitation,
64,"['Nf3', 'a6']","['g1f3', 'a7a6']",Zukertort Opening: St. George Defense,
65,"['Nf3', 'a5']","['g1f3', 'a7a5']",Zukertort Opening: Ware Defense,
66,"['Nf3', 'Nf6']","['g1f3', 'g8f6']",Zukertort Opening,
67,"['Nf3', 'd5']","['g1f3', 'd7d5']",Zukertort Opening,
68,"['c4', 'f5']","['c2c4', 'f7f5']",English Opening: Anglo-Dutch Defense,
69,"['c4', 'Nc6']","['c2c4', 'b8c6']",English Opening: Anglo-Lithuanian Variation,
70,"['c4', 'd5']","['c2c4', 'd7d5']",English Opening: Anglo-Scandinavian Defense,
71,"['c4', 'g6']","['c2c4', 'g7g6']",English Opening: Great Snake Variation,
72,"['c4', 'b5']","['c2c4', 'b7b5']",English Opening: Jaenisch Gambit,
73,"['c4', 'g5']","['c2c4', 'g7g5']",English Opening: Myers Defense,
74,"['c4', 'c6']","['c2c4', 'c7c6']",English Opening: Caro-Kann Defensive System,
75,"['c4', 'e6']","['c2c4', 'e7e6']",English Opening: Agincourt Defense,
76,"['c4', 'Nf6']","['c2c4', 'g8f6']",English Opening: Anglo-Indian Defense,
77,"['c4', 'e5']","['c2c4', 'e7e5']",English Opening: King's English Variation,
78,"['c4', 'c5']","['c2c4', 'c7c5']",English Opening: Symmetrical Variation,
79,"['d4', 'Na6']","['d2d4', 'b8a6']",Australian Defense,
80,"['d4', 'g5']","['d2d4', 'g7g5']",Borg Defense: Borg Gambit,
81,"['d4', 'b6']","['d2d4', 'b7b6']",English Defense,
82,"['d4', 'e5']","['d2d4', 'e7e5']",Englund Gambit,
83,"['d4', 'e6']","['d2d4', 'e7e6']",Horwitz Defense,
84,"['d4', 'Nc6']","['d2d4', 'b8c6']",Mikenas Defense,
85,"['d4', 'b5']","['d2d4', 'b7b5']",Polish Defense,
86,"['d4', 'g6']","['d2d4', 'g7g6']",Queen's Pawn Game: Modern Defense,
87,"['d4', 'd6']","['d2d4', 'd7d6']",Queen's Pawn Game,
88,"['d4', 'c5']","['d2d4', 'c7c5']",Benoni Defense: Old Benoni,
89,"['d4', 'Nf6']","['d2d4', 'g8f6']",Indian Defense,
90,"['d4', 'f5']","['d2d4', 'f7f5']",Dutch Defense,
91,"['e4', 'f6']","['e2e4', 'f7f6']",Barnes Defense,
92,"['e4', 'g5']","['e2e4', 'g7g5']",Borg Defense,
93,"['e4', 'h6']","['e2e4', 'h7h6']",Carr Defense,
94,"['e4', 'f5']","['e2e4', 'f7f5']",Duras Gambit,
95,"['e4', 'h5']","['e2e4', 'h7h5']",Goldsmith Defense,
96,"['e4', 'Nh6']","['e2e4', 'g8h6']",Hippopotamus Defense,
97,"['e4', 'Na6']","['e2e4', 'b8a6']",Lemming Defense,
98,"['e4', 'Nc6']","['e2e4', 'b8c6']",Nimzowitsch Defense,
99,"['e4', 'b6']","['e2e4', 'b7b6']",Owen Defense,
100,"['e4', 'd6']","['e2e4', 'd7d6']",Pirc Defense,
101,"['e4', 'a6']","['e2e4', 'a7a6']",St. George Defense,
102,"['e4', 'a5']","['e2e4', 'a7a5']",Ware Defense,
103,"['e4', 'd5']","['e2e4', 'd7d5']",Scandinavian Defense,
104,"['e4', 'Nf6']","['e2e4', 'g8f6']",Alekhine Defense,
105,"['e4', 'g6']","['e2e4', 'g7g6']",Modern Defense,
106,"['e4', 'c6']","['e2e4', 'c7c6']",Caro-Kann Defense,
107,"['e4', 'c5']","['e2e4', 'c7c5']",Sicilian Defense,
108,"['e4', 'e6']","['e2e4', 'e7e6']",French Defense,
109,"['e4', 'e5']","['e2e4', 'e7e5']",King's Pawn Game,
110,"['d4', 'd5']","['d2d4', 'd7d5']",Queen's Pawn Game,
111,"['a3', 'a5', 'b4']","['a2a3', 'a7a5', 'b2b4']",Anderssen's Opening: Polish Gambit,
112,"['f3', 'e5', 'Kf2']","['f2f3', 'e7e5', 'e1f2']",Barnes Opening: Hammerschlag,
113,"['h3', 'h5', 'g4']","['h2h3', 'h7h5', 'g2g4']",Clemenz Opening: Spike Lee Gambit,
114,"['a4', 'e5', 'h4']","['a2a4', 'e7e5', 'h2h4']",Crab Opening,
115,"['h3', 'e5', 'a3']","['h2h3', 'e7e5', 'a2a3']",Global Opening,
116,"['g4', 'g5', 'f4']","['g2g4', 'g7g5', 'f2f4']","Grob Opening: Double Grob, Coca-Cola Gambit",
117,"['g4', 'd5', 'Bg2']","['g2g4', 'd7d5', 'f1g2']",Grob Opening: Grob Gambit,
118,"['g3', 'e5', 'Nf3']","['g2g3', 'e7e5', 'g1f3']",Hungarian Opening: Reversed Alekhine,
119,"['h4', 'd5', 'Rh3']","['h2h4', 'd7d5', 'h1h3']",Kádas Opening: Beginner's Trap,
120,"['h4', 'c5', 'b4']","['h2h4', 'c7c5', 'b2b4']",Kádas Opening: Kádas Gambit,
121,"['d3', 'g6', 'g4']","['d2d3', 'g7g6', 'g2g4']",Mieses Opening: Myers Spike Attack,
122,"['b4', 'e5', 'a3']","['b2b4', 'e7e5', 'a2a3']",Polish Opening: Bugayev Attack,
123,"['Na3', 'g6', 'g4']","['b1a3', 'g7g6', 'g2g4']",Sodium Attack: Chenoboskion Variation,
124,"['d3', 'e5', 'Nd2']","['d2d3', 'e7e5', 'b1d2']",Valencia Opening,
125,"['a3', 'e5', 'Nc3']","['a2a3', 'e7e5', 'b1c3']",Van Geet Opening: Battambang Variation,
126,"['Nc3', 'c5', 'b4']","['b1c3', 'c7c5', 'b2b4']",Van Geet Opening: Düsseldorf Gambit,
127,"['Nc3', 'g6', 'h4']","['b1c3', 'g7g6', 'h2h4']",Van Geet Opening: Myers Attack,
128,"['Nc3', 'c5', 'Rb1']","['b1c3', 'c7c5', 'a1b1']",Van Geet Opening: Twyble Attack,
